Plant,Posting Date,Pounds,Material Number,Description
1596,5/2/21,92000,10098560142,Chicken Fat with BHA 1000
1596,5/2/21,3350,10098766000,Dried Chicken Cartilage Mix
1596,5/3/21,71697,10060790142,Chicken Fat Natural Mix Tocopherols 900
1596,5/3/21,47673,10098560142,Chicken Fat with BHA 1000
1596,5/3/21,12420,10098710145,Chicken By-Product Meal with BHA BHT 500
1596,5/3/21,1750,10098766000,Dried Chicken Cartilage Mix
1596,5/3/21,112980,10176490147,Chicken Meal with Natural Mixed Tocopherals 1200
1596,5/3/21,138040,10265280147,Premium Chicken Fat with Natural Mix Tocopherols 5000
1596,5/4/21,140690,10060570145,Hydrolyzed Chicken Feather Meal
1596,5/4/21,230340,10098560142,Chicken Fat with BHA 1000
1596,5/4/21,246000,10098710145,Chicken By-Product Meal with BHA BHT 500
1596,5/4/21,1650,10098766000,Dried Chicken Cartilage Mix
1596,5/4/21,199620,10176490147,Chicken Meal with Natural Mixed Tocopherals 1200
1596,5/4/21,46000,10265280147,Premium Chicken Fat with Natural Mix Tocopherols 5000
1596,5/4/21,20,10268190142,Premium Chicken Fat with BHA 1000
1596,5/5/21,248910,10060570145,Hydrolyzed Chicken Feather Meal
1596,5/5/21,89920,10060790142,Chicken Fat Natural Mix Tocopherols 900
1596,5/5/21,45920,10098560142,Chicken Fat with BHA 1000
1596,5/5/21,197380,10098710145,Chicken By-Product Meal with BHA BHT 500
1596,5/5/21,1500,10098766000,Dried Chicken Cartilage Mix
1596,5/6/21,91030,10060570145,Hydrolyzed Chicken Feather Meal
1596,5/6/21,89860,10060790142,Chicken Fat Natural Mix Tocopherols 900
1596,5/6/21,184020,10098560142,Chicken Fat with BHA 1000
1596,5/6/21,401240,10098710145,Chicken By-Product Meal with BHA BHT 500
1596,5/6/21,1750,10098766000,Dried Chicken Cartilage Mix
1596,5/6/21,150940,10176490147,Chicken Meal with Natural Mixed Tocopherals 1200
1596,5/6/21,35282,10230361991,Premium Chicken Fat
1596,5/6/21,92020,10265280147,Premium Chicken Fat with Natural Mix Tocopherols 5000
1596,5/7/21,48040,10060570145,Hydrolyzed Chicken Feather Meal
1596,5/7/21,92040,10098560142,Chicken Fat with BHA 1000
1596,5/7/21,194680,10098710145,Chicken By-Product Meal with BHA BHT 500
1596,5/7/21,1750,10098766000,Dried Chicken Cartilage Mix
1596,5/7/21,203740,10176490147,Chicken Meal with Natural Mixed Tocopherals 1200
1596,5/7/21,92000,10230361991,Premium Chicken Fat
1596,5/7/21,92020,10265280147,Premium Chicken Fat with Natural Mix Tocopherols 5000
1596,5/8/21,293550,10060570145,Hydrolyzed Chicken Feather Meal
1596,5/8/21,68871,10060790142,Chicken Fat Natural Mix Tocopherols 900
1596,5/8/21,267308,10098560142,Chicken Fat with BHA 1000
1596,5/8/21,463000,10098710145,Chicken By-Product Meal with BHA BHT 500
1596,5/8/21,1600,10098766000,Dried Chicken Cartilage Mix
1596,5/8/21,326620,10176490147,Chicken Meal with Natural Mixed Tocopherals 1200
