STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,MDPR,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,1/1/18,,,0,,,17,1,1
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,1/2/18,,,0,,,13,-2,-2
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,1/3/18,,,0,,,18,-2,13
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,1/4/18,,,0,,,30,4,4
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,1/5/18,,,0,,,18,4,13
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,1/6/18,,,0,,,19,2,2
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,1/7/18,,,0,,,21,1,19
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,1/8/18,,,0.44,,,43,19,35
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,1/9/18,,,0.09,,,44,34,35
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,1/10/18,,,0.01,,,51,35,51
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,1/11/18,,,0.03,,,60,51,58
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,1/12/18,,,1.25,,,63,18,18
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,1/13/18,,,0.35,3,,23,15,15
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,1/14/18,,,0,,,21,3,4
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,1/15/18,,,0,,,26,3,25
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,1/16/18,,,0.12,1.5,2,28,4,4
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,1/17/18,,,0,,,10,1,9
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,1/18/18,,,0,,,16,7,10
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,1/19/18,,,0,,,31,10,23
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,1/20/18,,,0,,,40,22,40
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,1/21/18,,,0,,,50,40,48
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,1/22/18,,,0.31,,,59,47,53
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,1/23/18,,,0.16,,,64,38,38
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,1/24/18,,,0,,,39,33,33
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,1/25/18,,,0,,,41,27,28
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,1/26/18,,,0,,,56,28,39
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,1/27/18,,,0,,,59,37,53
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,1/28/18,,,0.54,,,54,32,32
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,1/29/18,,,0,,,54,32,32
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,1/30/18,,,0,,,33,22,24
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,1/31/18,,,0,,,36,22,34
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,2/1/18,,,0,,,58,34,43
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,2/2/18,,,0.07,0.4,1,43,12,12
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,2/3/18,,,0,,,24,12,22
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,2/4/18,,,0.12,,,42,22,38
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,2/5/18,,,0.1,,,46,18,18
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,2/6/18,,,0,,,30,16,29
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,2/7/18,,,0.26,,,35,25,25
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,2/8/18,,,0,,,32,20,
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,2/9/18,,,0,,,39,20,38
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,2/10/18,,,0.01,,,59,37,40
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,2/11/18,,,0.28,,,40,31,31
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,2/12/18,,,0.08,,,31,21,21
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,2/13/18,,,0.01,,,40,21,28
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,2/14/18,,,0.05,,,52,28,52
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,2/15/18,,,0.17,,,64,52,64
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,2/16/18,,,0.55,,,73,43,43
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,2/17/18,,,0.24,,,43,34,36
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,2/18/18,,,0.43,,,41,29,30
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,2/19/18,,,0,,,60,28,59
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,2/20/18,,,0,,,76,59,67
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,2/21/18,,,0.65,,,79,41,41
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,2/22/18,,,1.41,,,44,38,43
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,2/23/18,,,1.25,,,61,43,61
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,2/24/18,,,0.38,,,61,48,49
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,2/25/18,,,1.99,,,64,42,42
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,2/26/18,,,0,,,49,34,36
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,2/27/18,,,0,,,59,35,40
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,2/28/18,,,0.13,,,67,40,53
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,3/1/18,,,0.14,,,59,52,58
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,3/2/18,,,0.02,,,59,35,37
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,3/3/18,,,0,,,51,35,36
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,3/4/18,,,0,,,52,34,35
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,3/5/18,,,0,,,57,35,43
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,3/6/18,,,0.1,,,52,35,39
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,3/7/18,,,0.02,,,59,32,36
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,3/8/18,,,0.02,,,41,29,29
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,3/9/18,,,0,,,39,26,27
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,3/10/18,,,0.08,,,49,27,39
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,3/11/18,,,0,,,53,38,38
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,3/12/18,,,0.63,1.8,2,42,29,29
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,3/13/18,,,0,,,37,28,30
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,3/14/18,,,0,,,48,25,25
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,3/15/18,,,0,,,47,24,42
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,3/16/18,,,0,,,67,38,38
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,3/17/18,,,0.14,,,53,37,46
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,3/18/18,,,0,,,65,40,40
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,3/19/18,,,0,,,49,38,38
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,3/20/18,,,0.24,,,60,37,37
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,3/21/18,,,0.18,0.8,,37,31,32
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,3/22/18,,,0,,,46,30,30
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,3/23/18,,,0,,,52,30,42
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,3/24/18,,,0.42,,,54,42,42
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,3/25/18,,,0.49,,,43,38,39
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,3/26/18,,,0,,,49,36,37
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,3/27/18,,,0.18,,,60,37,55
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,3/28/18,,,0.52,,,64,50,50
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,3/29/18,,,0.3,,,58,49,57
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,3/30/18,,,0.48,,,61,43,43
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,3/31/18,,,0.01,,,55,42,46
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,4/1/18,,,0.25,,,65,41,41
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,4/2/18,,,1.01,,,50,36,36
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,4/3/18,,,0.14,,,62,36,62
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,4/4/18,,,0.55,,,73,33,33
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,4/5/18,,,0,,,43,28,28
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,4/6/18,,,0,,,57,28,44
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,4/7/18,,,0.04,0.2,,58,27,29
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,4/8/18,,,0,,,43,28,32
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,4/9/18,,,0,,,43,32,35
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,4/10/18,,,0,,,52,35,39
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,4/11/18,,,0,,,46,32,36
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,4/12/18,,,0,,,68,36,
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,4/13/18,,,0,,,81,60,65
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,4/14/18,,,0.68,,,79,60,60
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,4/15/18,,,0.6,,,66,43,43
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,4/16/18,,,0.02,,,48,33,33
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,4/17/18,,,0.02,,,38,29,30
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,4/18/18,,,0,,,59,30,45
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,4/19/18,,,0,,,78,38,38
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,4/20/18,,,0,,,53,38,38
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,4/21/18,,,0,,,64,38,44
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,4/22/18,,,0,,,70,44,53
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,4/23/18,,,0.49,,,68,50,54
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,4/24/18,,,0.28,,,68,54,55
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,4/25/18,,,0.16,,,58,48,51
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,4/26/18,,,0,,,68,51,53
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,4/27/18,,,0,,,68,48,51
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,4/28/18,,,0,,,69,50,53
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,4/29/18,,,0,,,61,41,43
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,4/30/18,,,0,,,65,39,43
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,5/1/18,,,0,,,78,43,57
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,5/2/18,,,0,,,84,57,67
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,5/3/18,,,0,,,86,67,72
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,5/4/18,,,0.5,,,73,65,68
SFN02058304,"Roberts, AR",37.7558,-87.6455,136.9,5/5/18,,,0.02,,,77,61,
