Year,Month,State,Location,Food,Ingredient,Species,Genus,Status,Illnesses,Hospitalizations,Fatalities
2005,August,Michigan,Religious Facility,Taco Meat - Ground Beef,Ground Beef,Bacillus cereus,Bacillus,Confirmed,27,0,0
2005,March,North Carolina,Religious Facility,"Beef, Unspecified; Cake, Custard-Filled",,Bacillus cereus,Bacillus,Confirmed,6,0,0
2005,July,Minnesota,Restaurant,Tzatziki Sauce,,Bacillus cereus,Bacillus,Confirmed,4,0,0
2005,February,Texas,,"Queso Fresco, Unpasteurized",,Brucella unknown,Brucella,Confirmed,2,2,0
2005,September,Colorado,Prison,"Milk, 1% Milk Pasteurized",Milk,Campylobacter jejuni,Campylobacter,Confirmed,200,1,0
2005,May,Iowa,Religious Facility,"Whole Milk, Unpasteurized",Milk,Campylobacter jejuni,Campylobacter,Confirmed,33,0,0
2005,May,Oklahoma,Catering Service,"Fajita, Chicken; Fajita, Beef; Onions; Peppers, Unspecified",,Campylobacter jejuni,Campylobacter,Confirmed,28,1,0
2005,December,Colorado,,"Whole Milk, Unpasteurized",Milk,Campylobacter jejuni,Campylobacter,Confirmed,22,0,0
2005,June,Alaska,,"Peas, Green",,Campylobacter jejuni,Campylobacter,Confirmed,19,0,0
2005,June,Colorado,Grocery Store,"Potato Salad; Beans, Baked",,Campylobacter jejuni,Campylobacter,Confirmed,14,0,0
2005,September,Arizona,,"Whole Milk, Unpasteurized",,Campylobacter jejuni,Campylobacter,Confirmed,13,1,0
2005,October,Wisconsin,Religious Facility,"Liver, Chicken",,Campylobacter jejuni,Campylobacter,Confirmed,13,2,0
2005,April,Oklahoma,,"Whole Milk, Unpasteurized; Goat Milk, Unpasteurized",Milk; Milk,Campylobacter jejuni,Campylobacter,Confirmed,11,3,0
2005,June,Oklahoma,Restaurant,,,Campylobacter jejuni,Campylobacter,Confirmed,11,1,0
2005,June,Oklahoma,Residence,,,Campylobacter jejuni,Campylobacter,Confirmed,0,0,0
2005,June,Oklahoma,Grocery Store,,,Campylobacter jejuni,Campylobacter,Confirmed,0,0,0
2005,August,Hawaii,Restaurant,,,Campylobacter jejuni,Campylobacter,Confirmed,11,0,0
2005,September,Utah,,"Whole Milk, Unpasteurized",Milk,Campylobacter jejuni,Campylobacter,Confirmed,11,0,0
2005,August,Washington,Restaurant,"Liver, Chicken",,Campylobacter unknown,Campylobacter,Confirmed,9,0,0
2005,May,Illinois,Restaurant,,,Campylobacter unknown,Campylobacter,Confirmed,8,5,0
2005,July,Wyoming,Residence,,,Campylobacter jejuni,Campylobacter,Confirmed,6,0,0
2005,October,Pennsylvania,Residence,,,Campylobacter jejuni,Campylobacter,Confirmed,5,0,0
