title,review,rating,status,position,location,date_posted,year,month,day
Great,Love working there it was fun i would love to go back to work there again if they would rehire me again i would do it all over again walmart is a great job,5,Former Employee,Walmart Stocker ,"Harrisburg, PA",9/25/19,2019,9,25
It’s alright,"If you become a cashier, the chances of you talking to the front end manager about your shift is slim. Even if it is an emergency and you need to take the day off",2,Current Employee,Cashier ,"Oneida, NY",9/25/19,2019,9,25
Fun work place and always something to do so your time went by so quickly.,Co-workers are fun and always willing to help. Workplace is very busy but overall enjoyable that it makes your time go by so fast. The company also is very flexible with schedules to meet any needs you may have.,5,Former Employee,Sales Associate ,"Clovis, NM",9/25/19,2019,9,25
worst place ive ever worked management was uncaring,Walmart was the worst place ive worked I told my managers what needed to be done for me to complete my job and the ignored me for months and tried getting me in trouble for the problems I told them needed to be fixed.,1,Former Employee,Cart Attendant ,"Moreno Valley, CA",9/25/19,2019,9,25
Not recommend,Good pay but terrible management and working full time for part time pay. There is nothing else I have to say about Walmart. It was fast paced for me but every store is different.,1,Former Employee,E-Commerce Associate ,"Pascagoula, MS",9/25/19,2019,9,25
If you can keep a level head.,"It can get stressful, but as long as you keep your head and breathe you can make this place a great career starting point for yourself. The most stressful part in my opinion are different managers telling you to do different things and having to explain that to them in order to get the different tasks prioritized.",4,Former Employee,Receiver/Stocker and Overnight Maintenance/Stocker ,"Longview, TX",9/25/19,2019,9,25
Good job,"The job was very good itself the only downside was you weren’t working with people, I like working with a animal or someone to keep my company while I do my job",4,Former Employee,Walmart Stocker ,"Algonquin, IL",9/25/19,2019,9,25
Its a people's place.,"Great place to work, exciting new faces, and place to encourage someone who checks out in your line. New ideas you can expect from Walmart upgrades in every departments.",4,Former Employee,"Cashier, deli and fresh foods ",Chalmette location and Meraux,9/25/19,2019,9,25
"A terribly run, unfair workplace","Management is terrible, Good employee's are verbally degraded for not going faster when they are the fastest of the shift. They push unreasonable expectations.",1,Former Employee,Sales Associate ,"Pratt, KS",9/25/19,2019,9,25
Great job,It is a great job unfortunately I had to move out of state. Pay is good many benefits for college and tuition. Well ran very flexible schedule. Aslong as you had your work done you will have a great experience.,5,Former Employee,Cart Pusher ,"Warsaw, IN",9/25/19,2019,9,25
Uncomplicated Job with Compassionate People,"Work at Walmart starts in the break room, with a breakdown of our positions for the night. The job of running the freight is not too terribly difficult, so we switch positions and areas around the store. As long as you know the basics, every area is easy. The main trick is just to match the barcode with the price tags. We go to our areas and stock the shelves with what has already been brought out by CAP 2. We just go through one box at a time. Most of the time, we'll try to down stack the pallets for each aisle, just to make the work simpler. We run freight until 1:30 am, where we go outside for a half hour to clear the lot and bring all of the carts in. Once we come back, we keep running our freight until 5. We stop at 5 and begin zoning, which is where we pull all of the stocked goods toward the front of the shelves so everything looks nice and full. Management is really kind here; they know everyone by name and want to make sure that everyone is accommodated. I really enjoy the people I work with, and we all laugh and joke. The job culture itself is fairly fast paced, but the work is easy and quick to pick up on, so the fast pace makes the night go fast.",3,Current Employee,OVERNIGHT STOCKER ,"8300 E 96th St, Fishers, IN 46037",9/25/19,2019,9,25
walmart,"A typical day at Walmart involved assisting employees with various trainings, payroll questions, and recruiting new employees. Management was open door.",2,Former Employee,TRAINING COORDINATOR ,"Alexandria, VA",9/25/19,2019,9,25
It was ok,It was ok when i worked there but managenent wasnt really good with there emplyees and there wasnt any team work there and i wasnt really empressed with the job there,1,Former Employee,Electronics Sales Associate ,"Eldon, MO",9/25/19,2019,9,25
Its Difficult,"I absolutely loved being an associate at walmart. The pay was good. The atmosphere, while I worked there was tense. I didn't really receive benefits. You have to be full-time to reap benefits. There's PTO but it takes a while to gain those. Three of My managers weren't ideal.  Although, all above, I would recommend employment with Wal-Mart.",3,Former Employee,OGP ,"Phenix City, AL",9/25/19,2019,9,25
